geocod	fleet	industry	Y	x
320010	133	47	-20.07416667	-41.12388889
320013	74	5	-18.98305556	-40.74027778
320016	22	4	-18.54694444	-40.97861111
320020	65	47	-20.76361111	-41.53305556
320030	140	33	-20.635	-40.74972222
320035	36	2	-19.05611111	-41.01666667
320040	88	44	-20.80583333	-40.64555556
320050	20	10	-21.15361111	-41.5675
320060	419	178	-19.82027778	-40.27333333
320070	66	36	-20.91416667	-41.19833333
320080	192	58	-19.51888889	-41.01583333
320090	208	79	-18.755	-40.89083333
320100	97	39	-18.54	-40.29583333
320110	36	19	-21.13222222	-41.67666667
320115	42	6	-20.14611111	-41.29027778
320120	1805	893	-20.84888889	-41.11277778
320130	1637	500	-20.26388889	-40.42
320140	308	89	-20.60361111	-41.18472222
320150	924	505	-19.53944444	-40.63055556
320160	96	32	-18.59333333	-39.73222222
320170	75	23	-20.36833333	-41.24388889
320180	13	2	-20.62	-41.68583333
320190	330	59	-20.36333333	-40.65916667
320200	53	3	-20.68888889	-41.84527778
320210	48	25	-18.37333333	-40.83055556
320220	111	34	-19.9325	-40.40666667
320230	124	68	-20.77555556	-41.67944444
320240	316	203	-20.66666667	-40.4975
320245	109	26	-20.23388889	-41.51055556
320250	121	49	-19.83194444	-40.36972222
320255	25	7	-20.54138889	-41.66722222
320260	202	41	-20.79305556	-40.81111111
320265	74	8	-20.34527778	-41.64111111
320270	92	34	-19.80194444	-40.85555556
320280	196	71	-21.01111111	-40.83388889
320290	106	16	-19.87388889	-40.87527778
320300	178	52	-20.34583333	-41.53583333
320305	178	21	-18.90555556	-40.07611111
320310	17	12	-20.78944444	-41.395
320313	143	52	-19.7575	-40.38555556
320316	90	25	-19.89888889	-41.05666667
320320	1161	409	-19.39111111	-40.07222222
320330	41	10	-18.8625	-41.12277778
320332	308	52	-21.04333333	-40.82444444
320334	218	26	-20.41277778	-40.68305556
320335	131	32	-19.41277778	-40.54166667
320340	91	49	-21.06416667	-41.36638889
320350	69	24	-18.12694444	-40.36333333
320360	15	4	-18.09333333	-40.51583333
320370	32	20	-20.46416667	-41.41305556
320380	50	18	-20.95166667	-41.34583333
320390	259	144	-18.71055556	-40.40055556
320400	131	13	-19.225	-40.85138889
320405	162	20	-18.03027778	-40.15055556
320410	113	36	-18.37027778	-40.21333333
320420	59	45	-20.83777778	-40.72194444
320425	15	6	-18.12361111	-40.54111111
320430	55	11	-21.09888889	-41.04666667
320435	156	26	-19.265	-40.33333333
320440	104	25	-20.8625	-40.93638889
320450	72	7	-20.10055556	-40.52972222
320455	431	42	-20.04055556	-40.74611111
320460	260	89	-19.93555556	-40.60027778
320465	94	11	-19.14361111	-40.62361111
320470	233	145	-19.0175	-40.53555556
320480	65	18	-21.02527778	-41.65444444
320490	513	206	-18.71611111	-39.85888889
320495	7	37	-19.73888889	-40.65694444
320500	1372	849	-20.12861111	-40.30777778
320501	130	31	-19.19694444	-40.09777778
320503	124	82	-20.67138889	-41.00694444
320506	213	61	-20.33972222	-41.13472222
320510	319	60	-20.39027778	-40.49611111
320515	41	10	-18.615	-40.61138889
320517	120	16	-18.99777778	-40.38916667
320520	1285	1288	-20.32972222	-40.2925
320530	617	714	-20.31944444	-40.33777778
